Ticker,ABCB4.SA,AGRO3.SA,ALPA4.SA,ALUP11.SA,AMAR3.SA,ANIM3.SA,ARZZ3.SA,AZEV4.SA,AZUL4.SA,BEEF3.SA,BPAN4.SA,BRAP4.SA,BRSR6.SA,CAML3.SA,CIEL3.SA,COGN3.SA,CSMG3.SA,CVCB3.SA,CYRE3.SA,DASA3.SA,DIRR3.SA,DXCO3.SA,ECOR3.SA,ENAT3.SA,EVEN3.SA,EZTC3.SA,FESA4.SA,FLRY3.SA,FRAS3.SA,GFSA3.SA,GOAU4.SA,GRND3.SA,GUAR3.SA,IRBR3.SA,JHSF3.SA,KEPL3.SA,LEVE3.SA,LOGG3.SA,MDIA3.SA,MGLU3.SA,MILS3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MYPK3.SA,ODPV3.SA,PCAR3.SA,PNVL3.SA,POMO4.SA,POSI3.SA,PTBL3.SA,QUAL3.SA,RANI3.SA,RAPT4.SA,RCSL3.SA,ROMI3.SA,SAPR11.SA,SEER3.SA,SLCE3.SA,SMTO3.SA,STBP3.SA,TAEE11.SA,TASA4.SA,TEND3.SA,TGMA3.SA,TRIS3.SA,TUPY3.SA,UNIP6.SA,USIM3.SA,USIM5.SA,VLID3.SA,VULC3.SA,WIZC3.SA,YDUQ3.SA,ZAMP3.SA,Cluster
PNVL3.SA,0.3865100958076413,0.38556024279334034,0.2879772433550258,0.3197909345510611,0.5178977931022344,0.49985169132098867,0.49114132586758613,0.19408429568891392,0.4620833342191565,0.18128590198785144,0.33209895966456177,0.15279456795770263,0.4109851559825837,0.3557537340315903,0.3370954416931021,0.5469616144078514,0.3702246691189311,0.521503182547094,0.5108255394599542,0.24204631861328782,0.5488973510100257,0.42222754096052273,0.48254970077729076,0.27114436232161226,0.46459008342804814,0.4921761615622416,0.29351889197913916,0.47548222925793326,0.4442678589451722,0.32430529422219334,0.2900316487386427,0.44358954821587704,0.44531810106787956,0.35606006062913176,0.49197231726004587,0.3120695322607417,0.36416293068224026,0.51807560069299,0.35439228728678224,0.428815384470463,0.47805621910501167,0.5135713859481322,0.2727160230436038,0.47374215318100077,0.2551101586496723,0.3395833777955585,0.16725352177430117,1.0,0.42468118571343,0.4631492763301449,0.32922513157148947,0.3363250536050708,0.14992461985528716,0.43745488211353206,0.1906971819635355,0.39372426707277275,0.4118121864061687,0.4804559949349028,0.17762882526596008,0.2770194503043801,0.4708588103649855,0.23147342911626737,0.3245662148458956,0.4584198626724606,0.4388222847677047,0.5190193591264776,0.39085640980337144,0.31464812039047435,0.2959228432700869,0.2868177608885089,0.49311126090993285,0.30140967344263253,0.40536725521736305,0.4700716721300012,0.44186257983379634,2
POMO4.SA,0.5053518325911855,0.3066690154791561,0.3190524364071471,0.2999159444286779,0.46101421190252917,0.49637186432920205,0.4720676371308672,0.25477631613247054,0.5176827343244844,0.19409870920571928,0.3742811168447177,0.24728040978241622,0.4523557138240209,0.3727031728419023,0.3137006414097436,0.5137385216087663,0.3562297817502328,0.548378820162022,0.5886206435496564,0.1676015847054591,0.5163208787268784,0.5492772656773706,0.4883647878955362,0.3181937934233191,0.5631060550751563,0.5188764811985637,0.33148558112545906,0.4746254062312211,0.43199666166100215,0.291277142555552,0.37983991432470027,0.4040802065450331,0.43535349085070657,0.3504115628936886,0.48710833182036517,0.1920193395189714,0.5329096430753206,0.48312324762387415,0.36352706843032123,0.3357613951265366,0.4441551370228779,0.5229380864300154,0.30493459111240406,0.4403653552324659,0.4864887999630807,0.3237824784360122,0.10386638643894605,0.42468118571343,1.0,0.43741167926585206,0.43776284484041705,0.3838823864316787,0.16177617485845078,0.6140350149914334,0.26483521176314656,0.38506400786063705,0.49742286275198094,0.4617700749606484,0.20220698098538273,0.278334672545025,0.4827066304003827,0.30570722367007375,0.2907152639137704,0.4463837151407927,0.5013127825149162,0.5068497854310858,0.5124464093115638,0.3737912637039018,0.3802323545876464,0.3847370450388024,0.5183088782927688,0.4527271421525907,0.3864369828865258,0.5256373273046848,0.40636700191031355,2
POSI3.SA,0.49072949790947235,0.398799849861928,0.3370146063298829,0.27307615128241813,0.523898415441738,0.4897558659236586,0.5034156227006433,0.17072340026888896,0.5111636529283891,0.17608075142434979,0.37996966130272075,0.20978361132164336,0.47052251191838823,0.3414095237300274,0.3753457395185076,0.49650353328965047,0.3622649036338369,0.547980766550601,0.5556773236394902,0.12913416099877761,0.5269454808763241,0.46809688146130957,0.4310406275202221,0.26939916822618826,0.5308096048572377,0.5562666838657092,0.3779654147030974,0.4037085482020515,0.4245281342908297,0.27132413028954105,0.39198720572218587,0.500010659003965,0.46266690867548227,0.39258406394616835,0.6014689893315291,0.2954256781467434,0.46178283691038224,0.45641287875142905,0.2646602777839428,0.36260099165985776,0.46600065990840395,0.4731559893229341,0.2801639173921768,0.4714761448999331,0.39977889914795345,0.27236760569702667,0.13902123978085995,0.4631492763301449,0.43741167926585206,1.0,0.42760895435464463,0.31177414845134555,0.16903942584823448,0.5169876054493121,0.20469115246054054,0.451839966347742,0.388953521261393,0.4275813247575099,0.21245595190572292,0.2788745208803903,0.5375861423285266,0.28890354482939157,0.31816750021494816,0.3646869420153711,0.5356935784426702,0.5340463396750675,0.4470732743955916,0.4190505095446626,0.41758822081060387,0.40397889754586286,0.4407151256736923,0.3952067344353534,0.47519974468774023,0.44800710821998646,0.45152971745605996,2
PTBL3.SA,0.44469721806957474,0.21720019284131498,0.3828674132828592,0.28709743729758935,0.4969628754642998,0.45456891118051884,0.5027735633399444,0.2387049982338355,0.4394316776069655,0.14334817954418566,0.44152810854667235,0.20855668356722334,0.43172829131783413,0.2619214968335326,0.4024800873280474,0.5302986829355315,0.3911307199023799,0.456380839142286,0.5131043556960028,0.1843990502299308,0.4912555712938937,0.5370558103889418,0.4439192447654401,0.25073908868809747,0.51820589687805,0.5032083091418073,0.29349412057869995,0.49297839485262646,0.44961982825080027,0.23216279977655843,0.42051479186381835,0.4395978829422475,0.5469384545138275,0.2071305283379184,0.546403253920229,0.2869792128449778,0.43787190782671953,0.40050758798059877,0.29858327811904134,0.38499982412046374,0.5616118897621091,0.5374980979421244,0.23332874685452376,0.4101447497967338,0.429246094537583,0.15310896481818867,0.22364678683928008,0.32922513157148947,0.43776284484041705,0.42760895435464463,1.0,0.34714820163301835,0.16009515565210314,0.48198487795625433,0.1696387401758555,0.3881133913064678,0.45218463015566307,0.38846355035664465,0.16665884198997574,0.29752075528169497,0.4157943186204843,0.3450850810611048,0.20554147260258432,0.3510115574431194,0.482666642739033,0.48918314837567783,0.41145485255570124,0.312821669932818,0.4254793351761404,0.4247183064958441,0.4368175764131015,0.5114181227448116,0.3862621173196443,0.415448849151833,0.41310608347071376,2
QUAL3.SA,0.39683474467417235,0.156692032218459,0.4193912810894742,0.31023737968110204,0.49698569751932586,0.4798421907989726,0.42809750893799586,0.1514623516821053,0.4456615978314435,0.08956110027347194,0.3666433853893513,0.11948090699801388,0.379763678467113,0.20822965397206936,0.2954939501595494,0.4755082010202275,0.2682738296865216,0.5023517230350811,0.5152906365537154,0.2191913455552283,0.4585740119005147,0.3924705414678355,0.43981964056803674,0.2368161940956933,0.500205043191576,0.5146821627700512,0.19879949816162137,0.41256369293343587,0.4082799262075459,0.328378221130027,0.19242896769604464,0.38991638295023173,0.44571442293938784,0.34110599028419425,0.48035042180323334,0.19475055892455756,0.3142920371635693,0.43206306756442997,0.223593804979609,0.37137268092657555,0.33141894757520685,0.49145001756422185,0.16597656540386327,0.39636382998294734,0.2335604224489579,0.3161713150725195,0.19173432057092227,0.3363250536050708,0.3838823864316787,0.31177414845134555,0.34714820163301835,1.0,0.030802039871124735,0.4181273321817442,0.13878257400829463,0.3107430687648962,0.3191262133387617,0.43221792482637916,0.13656839341067353,0.252018527884957,0.37069663602355407,0.23931423110653702,0.20542201683365513,0.4272377337484583,0.4219513151469778,0.5289621580524272,0.31413041405856224,0.18840583264830718,0.16856643976339775,0.17868474701286982,0.3919541353794017,0.4112937144841582,0.34757299550814286,0.49632872521523275,0.3600486810959701,1
RANI3.SA,0.18117560948746872,0.1688531301877441,0.09080470320225631,0.1118730202880838,0.17856424913926047,0.14387276486225342,0.1951315399697449,0.132956607542392,0.12918693687397462,0.028526179485455123,0.12501943114248404,0.1499635659825525,0.12657920327660932,0.12202416583814975,0.26445472240239476,0.22930174115006344,0.21907565373993826,0.1734641491733762,0.2588140199647097,0.03231053978100977,0.23560287544065514,0.2276711902588143,0.14556100823550633,0.11546144826653684,0.21659474138257923,0.17173211053829074,0.15521814665405242,0.16261293097233298,0.13536117178130533,0.09705218094390798,0.22377475603743027,0.19213564184661497,0.1894710956412277,0.03535260230673928,0.2083046137078348,0.1576143286484723,0.15310139764251843,0.15379259294854666,0.09481386482861434,0.15476762336987163,0.16849802193444946,0.1577190114653491,0.06797097721566218,0.17343986391590296,0.11180586238083061,-0.00325480285465196,0.06243667319140967,0.14992461985528716,0.16177617485845078,0.16903942584823448,0.16009515565210314,0.030802039871124735,1.0,0.22883523376522505,0.10310801145431285,0.19941060770295974,0.18667977723752827,0.20717401543800787,0.11829875048214428,0.1887368648295815,0.24815389713287414,0.10984618628611686,0.1425012343787526,0.12298746110596198,0.2108810238218488,0.17333310373607858,0.13909831932267863,0.15252882568372017,0.16846772850755046,0.19015477261032948,0.1555219695293523,0.1646588032714723,0.09767274086176886,0.168362725863209,0.13058047546884805,0
RAPT4.SA,0.5659824945352319,0.2883804222966844,0.3628117185170952,0.3745816441317985,0.5387187606940714,0.5575108142916958,0.5679646441508582,0.21526239482630916,0.5455093615599687,0.15129353360458442,0.4557251871682697,0.332073536274183,0.5478086368483486,0.31864521308165883,0.41038628538971506,0.6019936811126649,0.5021039859160755,0.624161202939944,0.6707140314999317,0.07169677410577553,0.5729904924658645,0.6108200148593741,0.5921253819395335,0.36874900061867155,0.641393247490674,0.5926064038317833,0.3797940160588468,0.5435679648404496,0.5675837698935677,0.325425895511561,0.5444326324483807,0.4575532539658183,0.5350505573236833,0.4387427778715627,0.6475711712324613,0.27132446503283225,0.5476861987612509,0.5762104368720478,0.3814211741045959,0.40784326428222284,0.570970285036431,0.6365541748951762,0.23876405940292722,0.5335617014313938,0.5963475961698732,0.3297175873229522,0.12438721996059998,0.43745488211353206,0.6140350149914334,0.5169876054493121,0.48198487795625433,0.4181273321817442,0.22883523376522505,1.0,0.2283617238132733,0.500951818542906,0.5334165660732023,0.5148536687827286,0.16173250533431424,0.3074735971529788,0.5729836477592778,0.37088037800078866,0.3607705729461024,0.42721918660893166,0.5681570779649082,0.6305030415167293,0.5981328661641381,0.42081252433984084,0.49530994037719606,0.49863716367403654,0.5685848800176613,0.5283582051218618,0.47422497151948456,0.6026593281660625,0.4742297036312642,5
RCSL3.SA,0.18351946741250375,0.16801275431041013,0.0531817669490173,0.0551760243447285,0.17632713672649036,0.1742211449454219,0.1898432333225741,0.20581439155338588,0.19246442476441805,0.11451540121478872,0.14278948552126466,0.2769099429178112,0.11563743576887027,0.0952237860125727,0.07976882414974146,0.15003580454206006,0.14246292530023882,0.19334498429032324,0.20698217117898238,0.08266913646035463,0.1831995239202147,0.1255288040755131,0.21299925353379032,0.18028206713262387,0.2003790787565537,0.16266179429564162,0.22631160796537544,0.1580251249475348,0.18726239573636153,0.2690235739177076,0.24843436867304725,0.13597019742637229,0.162376831839396,0.10484915377769559,0.17642948419792548,0.11322928049991879,0.1772895402621473,0.15559787962428917,0.0316381978688454,0.16274923525946228,0.19475762814022032,0.1802746879927743,0.1699373948432348,0.13205149853107365,0.18272056623658395,0.1640069004762915,0.020241713645409498,0.1906971819635355,0.26483521176314656,0.20469115246054054,0.1696387401758555,0.13878257400829463,0.10310801145431285,0.2283617238132733,1.0,0.2322597567793627,0.1258285815432795,0.1998417277297849,0.06899768802097422,0.11637711890530125,0.10538338980840077,0.14318393735635193,0.2619510239694961,0.1628254680324293,0.19952515316096883,0.15329895507663607,0.2046695425247521,0.307265273602301,0.24016385000249457,0.24877925724758695,0.2580313842563409,0.1382148045754985,0.14483216864279128,0.21023328381576095,0.16445952869993793,0
ROMI3.SA,0.37694183388371444,0.3076893526802431,0.3118804477438789,0.23285291858495402,0.41131034745668993,0.4308102909302038,0.42849080936099454,0.27600373851329724,0.3843168075021674,0.15174644030856002,0.43628575081678306,0.2612311828039122,0.3686109104806159,0.24084584442544868,0.26142400728349174,0.4445680519880713,0.34593931597619537,0.4566247891098024,0.498458065549582,0.04966930416015025,0.47019147835871117,0.4094654217154613,0.3430569326085429,0.28001840872189293,0.4129433667851969,0.4051665366190249,0.377100025291248,0.41337410330802415,0.4747391439303844,0.259431008225124,0.4032775913175625,0.3731172260125023,0.380844804415022,0.3068662400665148,0.43949140946509435,0.3784603883722214,0.44153289333350765,0.4233571013056103,0.19014131713876903,0.3082911713975316,0.4130380155093566,0.4215817408141463,0.2011369297438955,0.32857286836925936,0.38177597689203807,0.1979006159495071,0.10878535367158237,0.39372426707277275,0.38506400786063705,0.451839966347742,0.3881133913064678,0.3107430687648962,0.19941060770295974,0.500951818542906,0.2322597567793627,1.0,0.3694676162764656,0.3856168703734942,0.28075293845713223,0.3625024984602921,0.4344169697255256,0.20970340651101202,0.21761905375787322,0.2680439988694873,0.4017263904781675,0.4747190013264254,0.5043276003535295,0.3685674387135008,0.41198971400807144,0.40475650923851214,0.3681512958620848,0.347044732202598,0.38250335057964263,0.4197930686090863,0.3255622230618319,1
SAPR11.SA,0.47909938416570375,0.2209477457470303,0.2771690669949063,0.41914450885533794,0.5022234493109179,0.46100169745746855,0.45026944192508844,0.16376300165168595,0.44013030892174515,0.12573710297042254,0.34306556414886286,0.1951927409579036,0.4979398554875766,0.31133581669032345,0.39333684028944005,0.5395550883748796,0.5893464083132562,0.46948624291157165,0.577246611879203,0.08807588773845434,0.5500704523932347,0.4604527539555913,0.5675194355629835,0.2838378859393078,0.5616640855108136,0.5611290020296825,0.22104484194368218,0.49222107612512983,0.45404137477555634,0.23037500997972496,0.33805332901725965,0.37240378398414875,0.47823622194963866,0.27689672340162014,0.5251106187889706,0.30113221793066347,0.4575778993030756,0.5010171696268187,0.37603089431220843,0.3868511043449824,0.5299449412369986,0.5730864321145803,0.24634220475312366,0.409211151674434,0.35498944971325774,0.26600759748631153,0.12150451438198352,0.4118121864061687,0.49742286275198094,0.388953521261393,0.45218463015566307,0.3191262133387617,0.18667977723752827,0.5334165660732023,0.1258285815432795,0.3694676162764656,1.0,0.4300014963210958,0.127828428718428,0.30406791779630843,0.46598687490799634,0.42340352428783673,0.18009600301927114,0.36788883923965393,0.4630288017264335,0.575567251824767,0.40090730118647916,0.2717290115383241,0.36756190947440714,0.3741226898168589,0.546810410681923,0.3787739382457418,0.3748073439368656,0.49371032985471486,0.40589084438012796,2
