Date,ABCB4.SA,AGRO3.SA,ALPA4.SA,ALUP11.SA,AMAR3.SA,ANIM3.SA,ARZZ3.SA,AZEV4.SA,AZUL4.SA,BEEF3.SA,BPAN4.SA,BRAP4.SA,BRSR6.SA,CAML3.SA,CIEL3.SA,COGN3.SA,CSMG3.SA,CVCB3.SA,CYRE3.SA,DASA3.SA,DIRR3.SA,DXCO3.SA,ECOR3.SA,ENAT3.SA,EVEN3.SA,EZTC3.SA,FESA4.SA,FLRY3.SA,FRAS3.SA,GFSA3.SA,GOAU4.SA,GRND3.SA,GUAR3.SA,IRBR3.SA,JHSF3.SA,KEPL3.SA,LEVE3.SA,LOGG3.SA,MDIA3.SA,MGLU3.SA,MILS3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MYPK3.SA,ODPV3.SA,PCAR3.SA,PNVL3.SA,POMO4.SA,POSI3.SA,PTBL3.SA,QUAL3.SA,RANI3.SA,RAPT4.SA,RCSL3.SA,ROMI3.SA,SAPR11.SA,SEER3.SA,SLCE3.SA,SMTO3.SA,STBP3.SA,TAEE11.SA,TASA4.SA,TEND3.SA,TGMA3.SA,TRIS3.SA,TUPY3.SA,UNIP6.SA,USIM3.SA,USIM5.SA,VLID3.SA,VULC3.SA,WIZC3.SA,YDUQ3.SA,ZAMP3.SA
2019-01-06,11.784364700317383,10.30237865447998,13.734753608703613,13.579734802246094,25.934701919555664,6.247803211212158,47.74587631225586,2.5347349643707275,36.25,4.204154968261719,1.643654227256775,6.6427903175354,15.229991912841797,6.289402008056641,7.234180927276611,9.260181427001953,12.64178466796875,48.91315841674805,11.962631225585938,27.38912582397461,5.665242671966553,8.011614799499512,9.460960388183594,6.662691116333008,4.921955585479736,19.365385055541992,4.025870323181152,15.938247680664062,3.869065046310425,120.15131378173828,4.43873929977417,5.411744117736816,16.936166763305664,616.166015625,1.3997955322265625,1.5430400371551514,14.025412559509277,13.944371223449707,40.48544692993164,51.737403869628906,3.8902883529663086,7.7146453857421875,3.734250068664551,10.127100944519043,19.233169555664062,10.712542533874512,9.343389511108398,9.543206214904785,3.4831044673919678,1.8825867176055908,4.249041557312012,11.167130470275879,2.0581483840942383,7.493155479431152,16.654052734375,3.5476839542388916,15.742830276489258,13.911686897277832,6.842339038848877,14.677506446838379,3.505312442779541,15.111610412597656,6.0443243980407715,15.450495719909668,21.749267578125,3.4635324478149414,17.21228790283203,17.507129669189453,9.831561088562012,7.955911636352539,13.89139461517334,5.418022632598877,4.41879415512085,23.02790641784668,20.99703598022461
2019-01-13,12.569988250732422,10.119085311889648,14.989824295043945,14.087593078613281,26.758024215698242,6.267796039581299,47.63844299316406,2.560338020324707,37.20000076293945,4.204154968261719,1.7104014158248901,6.782222747802734,15.791813850402832,6.223458766937256,7.633310317993164,9.7345552444458,12.183663368225098,48.1380500793457,12.381586074829102,27.38912582397461,5.874035358428955,7.958645343780518,9.926406860351562,6.475773811340332,4.945809841156006,19.2601375579834,4.240378379821777,16.320463180541992,3.8772642612457275,116.8731689453125,4.420670986175537,5.752906322479248,17.666349411010742,601.4052734375,1.4070110321044922,1.4618276357650757,14.74160385131836,16.986305236816406,41.882102966308594,51.50539779663086,3.9624974727630615,7.927052974700928,3.6487834453582764,10.85104751586914,18.714000701904297,10.846452713012695,9.343389511108398,9.834735870361328,3.3129987716674805,1.827905535697937,4.296694278717041,11.763595581054688,2.0654988288879395,7.666681289672852,18.18622589111328,3.5186383724212646,16.522808074951172,14.793476104736328,6.762369155883789,14.972368240356445,3.54626202583313,15.261289596557617,6.598387718200684,15.771995544433594,21.446144104003906,3.6158645153045654,17.55111312866211,17.582244873046875,9.84949016571045,8.074114799499512,14.459534645080566,6.222902774810791,4.820502758026123,25.00094223022461,20.69920539855957
2019-01-20,12.757705688476562,10.125406265258789,14.839847564697266,14.168557167053223,25.019895553588867,6.211149215698242,46.10749435424805,2.9187850952148438,36.36000061035156,4.461076259613037,1.6937147378921509,7.106870174407959,15.636128425598145,5.819552898406982,7.426617622375488,10.060688972473145,11.876317977905273,48.96210861206055,12.763134002685547,29.335708618164062,5.985391139984131,8.640625,9.821918487548828,6.451655864715576,5.311577320098877,20.087078094482422,4.246124744415283,17.039024353027344,4.188755989074707,114.23639678955078,4.4327168464660645,5.766284465789795,17.184253692626953,652.5758056640625,1.3853647708892822,1.5430400371551514,14.643942832946777,16.396984100341797,40.072601318359375,50.51936340332031,5.32545280456543,8.147956848144531,3.9643540382385254,9.386887550354004,17.164487838745117,11.701967239379883,9.343389511108398,10.312823295593262,3.402101755142212,1.827905535697937,4.606437683105469,12.923385620117188,2.1390042304992676,7.319629192352295,17.653295516967773,3.85888409614563,17.856781005859375,16.99365997314453,7.117441654205322,16.372955322265625,3.660921812057495,15.207404136657715,4.558427810668945,16.470901489257812,21.681062698364258,3.5998289585113525,16.924287796020508,17.699615478515625,9.744623184204102,7.88375997543335,15.363753318786621,5.8502726554870605,4.94410514831543,27.677331924438477,20.4013729095459
2019-01-27,13.445995330810547,10.144366264343262,15.944942474365234,14.750020980834961,26.758024215698242,6.6609907150268555,46.8774528503418,3.0211989879608154,36.060001373291016,4.320937156677246,1.810522437095642,7.283761501312256,15.636128425598145,5.967926979064941,7.6119279861450195,11.305919647216797,12.048355102539062,50.57759094238281,12.98009204864502,29.335708618164062,6.222023963928223,8.640625,10.610331535339355,7.253589630126953,5.3831400871276855,20.89897918701172,4.46254825592041,16.817340850830078,4.237939357757568,111.24330139160156,4.541125297546387,5.9335198402404785,17.425840377807617,665.5955810546875,1.3853647708892822,1.5531920194625854,15.360136032104492,16.292985916137695,41.33749008178711,48.57051467895508,4.675567150115967,8.207429885864258,3.859164237976074,12.079314231872559,18.370555877685547,12.155762672424316,9.343389511108398,10.389473915100098,3.353499412536621,1.8435286283493042,4.527016639709473,13.1304931640625,2.146354913711548,7.840206623077393,17.453445434570312,3.9003772735595703,18.02200698852539,17.806961059570312,7.181418418884277,16.25009536743164,3.759202241897583,15.476828575134277,4.340160846710205,16.848304748535156,22.12059783935547,3.3833582401275635,16.831111907958984,17.51181983947754,9.704288482666016,7.772722244262695,16.42801856994629,6.334690570831299,4.746340274810791,27.494646072387695,20.550289154052734
2019-02-03,13.703234672546387,10.239175796508789,15.8975830078125,16.155839920043945,29.136516571044922,6.76762056350708,49.77818298339844,2.9443891048431396,37.20000076293945,4.764710426330566,1.81886625289917,5.983090877532959,15.568434715270996,6.190486431121826,8.574108123779297,11.47392749786377,11.642424583435059,52.87026596069336,12.516250610351562,30.32367515563965,6.291620254516602,8.276460647583008,10.904800415039062,7.295797824859619,5.176403045654297,20.94408416748047,4.414665699005127,16.96257972717285,4.360896110534668,103.26171875,4.5230584144592285,6.147581577301025,17.281757354736328,657.1175537109375,1.378149390220642,1.5257829427719116,14.893524169921875,17.15963363647461,41.04762649536133,51.85340881347656,5.009535312652588,8.385854721069336,4.207605838775635,12.038641929626465,17.699628829956055,12.215278625488281,10.332574844360352,11.082433700561523,3.280597448348999,1.8669633865356445,4.5905537605285645,13.428723335266113,2.1978087425231934,7.777105331420898,17.320213317871094,4.070499897003174,18.831138610839844,18.765796661376953,6.9574995040893555,15.660375595092773,3.6854915618896484,15.398993492126465,4.029550075531006,16.806373596191406,21.900827407836914,3.50361967086792,15.899344444274902,17.788820266723633,9.276750564575195,7.685476779937744,16.684080123901367,6.058945178985596,4.975005149841309,27.677331924438477,21.84088706970215
2019-02-10,13.293042182922363,9.923151016235352,15.644989013671875,15.780461311340332,28.99929428100586,6.161166667938232,46.91325759887695,2.765165090560913,37.0,4.608999729156494,2.3695318698883057,5.6438751220703125,16.15056800842285,6.108056545257568,7.554909706115723,11.02920150756836,11.688817977905273,49.76985168457031,12.441435813903809,28.87596321105957,5.992351055145264,8.077826499938965,10.572336196899414,6.976229190826416,4.898100852966309,20.312604904174805,4.686633110046387,16.43512535095215,4.254334449768066,88.29624938964844,4.318284034729004,6.040550708770752,16.033727645874023,675.2846069335938,1.5008115768432617,1.6445560455322266,14.378084182739258,15.642999649047852,41.284793853759766,49.30133819580078,4.7748541831970215,8.581269264221191,3.8986098766326904,11.778346061706543,17.084611892700195,12.0888090133667,10.332574844360352,11.085512161254883,3.150993824005127,1.8122822046279907,4.40788459777832,12.558879852294922,2.050798177719116,7.311741352081299,16.987133026123047,4.078798770904541,18.1556453704834,17.550128936767578,6.879127025604248,14.947796821594238,3.5216917991638184,15.452877044677734,3.836467742919922,16.54079246520996,21.2794246673584,3.607846736907959,15.25557804107666,18.779430389404297,9.083149909973145,7.6299591064453125,15.643821716308594,5.954608917236328,4.913204669952393,26.681676864624023,20.153181076049805
2019-02-17,13.119230270385742,9.980034828186035,15.234524726867676,16.222078323364258,29.045034408569336,6.041208744049072,46.96697235107422,2.7907679080963135,38.5,4.632356643676758,2.9201982021331787,5.843657970428467,17.260656356811523,6.21521520614624,7.811490058898926,10.752483367919922,11.686882972717285,51.09160614013672,12.3441801071167,28.073854446411133,6.110666275024414,8.077826499938965,10.51534366607666,8.079643249511719,4.8901495933532715,19.7863712310791,4.937532901763916,16.236373901367188,4.303517818450928,68.48482513427734,4.408626556396484,5.95358943939209,16.35873031616211,689.9696044921875,1.6090435981750488,1.6983591318130493,14.812138557434082,15.625666618347168,40.88071823120117,47.552581787109375,4.783882141113281,9.430900573730469,3.813143253326416,11.387906074523926,17.268321990966797,12.282232284545898,10.276521682739258,11.390279769897461,3.094292163848877,1.8513400554656982,4.376116752624512,12.939953804016113,2.0949008464813232,7.240754127502441,15.921274185180664,4.668004989624023,17.929672241210938,16.822439193725586,7.120639801025391,15.234466552734375,3.464362144470215,15.422945976257324,3.7525179386138916,16.72716522216797,20.801998138427734,3.9205267429351807,16.53464126586914,18.568161010742188,8.946015357971191,7.4554667472839355,16.804107666015625,5.8502726554870605,4.882303714752197,27.28455352783203,20.53043556213379
2019-02-24,12.875895500183105,10.144366264343262,15.052973747253418,16.509126663208008,29.731138229370117,6.104519844055176,48.659080505371094,2.7907679080963135,37.900001525878906,4.749138355255127,2.736642360687256,6.01430606842041,17.125282287597656,5.984411716461182,8.089455604553223,11.25650691986084,12.065749168395996,49.606666564941406,12.680838584899902,29.149852752685547,6.013229846954346,8.24997615814209,10.401355743408203,7.874637126922607,4.8901495933532715,19.68112564086914,5.0371246337890625,15.563681602478027,4.123178958892822,68.84114837646484,4.378511428833008,5.846558094024658,16.24714469909668,707.0012817382812,1.6090435981750488,1.812057375907898,14.584260940551758,15.166343688964844,42.23346710205078,51.5923957824707,5.009535312652588,9.226987838745117,3.602762222290039,11.15201187133789,17.60378646850586,11.880510330200195,10.276521682739258,11.482632637023926,3.167194128036499,1.8513400554656982,4.288753032684326,12.484320640563965,2.0802001953125,7.666681289672852,15.321727752685547,4.817381858825684,19.210187911987305,16.274538040161133,6.853536128997803,14.947796821594238,3.325132131576538,15.045751571655273,3.777702808380127,15.646187782287598,21.218799591064453,3.9205267429351807,16.195816040039062,18.502437591552734,9.244484901428223,7.867897987365723,15.803865432739258,5.880083084106445,4.876123428344727,26.307167053222656,20.619783401489258
2019-03-03,12.702085494995117,10.106444358825684,15.739710807800293,16.487049102783203,29.27373504638672,6.084526538848877,48.09699249267578,2.7907679080963135,36.75,4.974916934967041,2.586460828781128,5.964360237121582,17.003442764282227,5.885495185852051,7.878911972045898,10.742600440979004,11.936238288879395,47.24055862426758,12.680838584899902,29.149852752685547,6.201143741607666,7.587858200073242,10.543840408325195,8.405240058898926,4.786780834197998,19.90665054321289,5.17310905456543,15.288487434387207,4.139573574066162,69.6963119506836,4.276126861572266,5.819799423217773,15.966553688049316,681.7944946289062,1.6162588596343994,1.7409958839416504,14.866397857666016,15.305006980895996,41.12667465209961,50.81517791748047,4.7748541831970215,10.025640487670898,3.675081253051758,11.29029369354248,17.731578826904297,12.126006126403809,10.276521682739258,11.51341724395752,3.361599922180176,1.8357172012329102,4.050488471984863,12.633439064025879,2.0949008464813232,7.643016815185547,15.588191986083984,4.522778034210205,18.515262603759766,16.30021858215332,6.749573707580566,15.308180809020996,3.087622880935669,14.830212593078613,3.500671625137329,15.79529094696045,20.832311630249023,3.888456344604492,16.068754196166992,18.37097930908203,9.026681900024414,7.693408966064453,15.331750869750977,5.954608917236328,5.51267671585083,25.04661750793457,23.05206298828125
2019-03-10,13.14008903503418,9.980034828186035,16.0870304107666,16.39872169494629,29.731138229370117,6.251135349273682,47.46055221557617,2.8675789833068848,37.060001373291016,5.037200927734375,2.603147506713867,6.201603412628174,16.87777328491211,5.8442816734313965,7.90809440612793,11.039084434509277,11.576701164245605,46.530731201171875,12.897797584533691,27.878217697143555,6.124587059020996,7.534890174865723,9.555948257446289,8.513773918151855,4.86629581451416,20.447919845581055,4.500853061676025,15.713936805725098,4.1641645431518555,68.19976806640625,4.276126384735107,5.665944576263428,16.672908782958984,689.5911865234375,1.6379053592681885,1.7511476278305054,14.166481971740723,14.863016128540039,40.09895706176758,52.4392204284668,4.6484880447387695,9.728269577026367,3.70137882232666,11.664468765258789,17.971195220947266,11.947465896606445,10.276521682739258,11.51341724395752,3.3453996181488037,1.781036138534546,4.082257270812988,12.890249252319336,2.0213959217071533,7.753443241119385,15.588191986083984,4.402446746826172,19.329256057739258,16.42863655090332,6.599226474761963,15.0460844039917,2.9320130348205566,14.94396686553955,3.6517796516418457,16.098148345947266,20.900516510009766,4.040788650512695,15.61134147644043,19.14093780517578,8.921815872192383,7.669614791870117,15.715842247009277,6.044040203094482,5.4261555671691895,25.66775894165039,23.646955490112305
